event_id,event_base_id,date,release_time_utc,event_name,prefixed_name,currency,country,impact,actual,forecast,previous,surprise,actual_raw,forecast_raw,previous_raw,source,source_url
122945,66,2022-09-02,2022-09-02 12:30:00,Non-Farm Employment Change,US Non-Farm Employment Change,USD,US,high,315000.0,295000.0,528000.0,20000.0,315K,295K,528K,forexfactory,https://www.forexfactory.com/calendar?day=sep2.2022#detail=122945
122946,66,2022-10-07,2022-10-07 12:30:00,Non-Farm Employment Change,US Non-Farm Employment Change,USD,US,high,263000.0,248000.0,315000.0,15000.0,263K,248K,315K,forexfactory,https://www.forexfactory.com/calendar?day=oct7.2022#detail=122946
122947,66,2022-11-04,2022-11-04 12:30:00,Non-Farm Employment Change,US Non-Farm Employment Change,USD,US,high,261000.0,197000.0,263000.0,64000.0,261K,197K,263K,forexfactory,https://www.forexfactory.com/calendar?day=nov4.2022#detail=122947
122948,66,2022-12-02,2022-12-02 13:30:00,Non-Farm Employment Change,US Non-Farm Employment Change,USD,US,high,263000.0,200000.0,261000.0,63000.0,263K,200K,261K,forexfactory,https://www.forexfactory.com/calendar?day=dec2.2022#detail=122948
129724,66,2023-01-06,2023-01-06 13:30:00,Non-Farm Employment Change,US Non-Farm Employment Change,USD,US,high,223000.0,200000.0,263000.0,23000.0,223K,200K,263K,forexfactory,https://www.forexfactory.com/calendar?day=jan6.2023#detail=129724
129727,66,2023-02-03,2023-02-03 13:30:00,Non-Farm Employment Change,US Non-Farm Employment Change,USD,US,high,517000.0,193000.0,223000.0,324000.0,517K,193K,223K,forexfactory,https://www.forexfactory.com/calendar?day=feb3.2023#detail=129727
129728,66,2023-03-10,2023-03-10 13:30:00,Non-Farm Employment Change,US Non-Farm Employment Change,USD,US,high,311000.0,224000.0,517000.0,87000.0,311K,224K,517K,forexfactory,https://www.forexfactory.com/calendar?day=mar10.2023#detail=129728
129733,66,2023-04-07,2023-04-07 12:30:00,Non-Farm Employment Change,US Non-Farm Employment Change,USD,US,high,236000.0,228000.0,311000.0,8000.0,236K,228K,311K,forexfactory,https://www.forexfactory.com/calendar?day=apr7.2023#detail=129733
129734,66,2023-05-05,2023-05-05 12:30:00,Non-Farm Employment Change,US Non-Farm Employment Change,USD,US,high,253000.0,181000.0,236000.0,72000.0,253K,181K,236K,forexfactory,https://www.forexfactory.com/calendar?day=may5.2023#detail=129734
129739,66,2023-06-02,2023-06-02 12:30:00,Non-Farm Employment Change,US Non-Farm Employment Change,USD,US,high,339000.0,193000.0,253000.0,146000.0,339K,193K,253K,forexfactory,https://www.forexfactory.com/calendar?day=jun2.2023#detail=129739
129742,66,2023-07-07,2023-07-07 12:30:00,Non-Farm Employment Change,US Non-Farm Employment Change,USD,US,high,209000.0,224000.0,339000.0,-15000.0,209K,224K,339K,forexfactory,https://www.forexfactory.com/calendar?day=jul7.2023#detail=129742
129745,66,2023-08-04,2023-08-04 12:30:00,Non-Farm Employment Change,US Non-Farm Employment Change,USD,US,high,187000.0,205000.0,209000.0,-18000.0,187K,205K,209K,forexfactory,https://www.forexfactory.com/calendar?day=aug4.2023#detail=129745
129748,66,2023-09-01,2023-09-01 12:30:00,Non-Farm Employment Change,US Non-Farm Employment Change,USD,US,high,187000.0,169000.0,187000.0,18000.0,187K,169K,187K,forexfactory,https://www.forexfactory.com/calendar?day=sep1.2023#detail=129748
129751,66,2023-10-06,2023-10-06 12:30:00,Non-Farm Employment Change,US Non-Farm Employment Change,USD,US,high,336000.0,171000.0,187000.0,165000.0,336K,171K,187K,forexfactory,https://www.forexfactory.com/calendar?day=oct6.2023#detail=129751
129752,66,2023-11-03,2023-11-03 12:30:00,Non-Farm Employment Change,US Non-Farm Employment Change,USD,US,high,150000.0,178000.0,336000.0,-28000.0,150K,178K,336K,forexfactory,https://www.forexfactory.com/calendar?day=nov3.2023#detail=129752
129755,66,2023-12-08,2023-12-08 13:30:00,Non-Farm Employment Change,US Non-Farm Employment Change,USD,US,high,199000.0,184000.0,150000.0,15000.0,199K,184K,150K,forexfactory,https://www.forexfactory.com/calendar?day=dec8.2023#detail=129755
135974,66,2024-01-05,2024-01-05 13:30:00,Non-Farm Employment Change,US Non-Farm Employment Change,USD,US,high,216000.0,168000.0,199000.0,48000.0,216K,168K,199K,forexfactory,https://www.forexfactory.com/calendar?day=jan5.2024#detail=135974
