event_base_id,event_name,currency,impact,max_mover_score,best_pair,best_horizon_label,best_horizon_minutes,best_corr,best_slope_pct_per_1sd_surprise,best_n_events,avg_mover_score,median_abs_corr,stats_rows,rank,filtered_rank
79,Core CPI m/m,USD,high,0.3979230437071772,USD/JPY,12h,720,0.4377302642235796,0.2624229978804357,12,0.05421647635912705,0.19086356729949416,36,31,13
105,Retail Sales m/m,GBP,high,0.38547420823269074,USD/JPY,12h,720,-0.4020833701465033,-0.26589338781722044,13,0.039355933333036705,0.22732049107243496,36,35,14
68,Claimant Count Change,GBP,high,0.3802735182245297,GBP/USD,12h,720,-0.49592083822800614,-0.22135691948044015,12,0.06018996327364142,0.22503116926316952,36,36,15
583,Flash Services PMI,USD,high,0.34476494947242464,USD/JPY,2h,120,0.542163639346088,0.15897642540555237,16,0.06505453467343564,0.1514597351266681,36,45,16
54,Revised UoM Consumer Sentiment,USD,medium,0.34472907480089116,USD/CAD,6h,360,-0.5937316032232278,-0.14991397441865864,15,0.07790295738271281,0.30388249869019407,32,46,17
453,Industrial Production y/y,CNY,medium,0.3403394629367037,GBP/USD,12h,720,-0.577894110186195,-0.18623617398898215,10,0.03674205614046872,0.34439447287427183,36,48,18
253,ISM Services PMI,USD,high,0.33810122286981076,GBP/USD,2h,120,-0.469653644813613,-0.14694791338744975,24,0.13400451337442174,0.2886524761538156,36,51,19
470,Retail Sales y/y,CNY,medium,0.32983502191858277,USD/CAD,12h,720,-0.6445043298653683,-0.1618344319846792,10,0.03637127081006983,0.18758960000942343,36,54,20
233,Pending Home Sales m/m,USD,medium,0.3157626890859772,USD/CAD,12h,720,-0.5807388441776435,-0.13187287526645006,17,0.04073419464227121,0.22054734104957163,36,59,21
29,GDP m/m,CAD,high,0.3141310290360315,EUR/USD,6h,360,0.47224064759269424,0.15678742179775781,18,0.03613522929107518,0.1589471158061219,32,61,22
102,Retail Sales m/m,USD,high,0.3137402105911859,EUR/USD,12h,720,0.5126000877895602,0.15803230622336725,15,0.0417381052657908,0.18608655896081072,36,62,23
837,Flash Manufacturing PMI,GBP,high,0.3065342875272969,EUR/USD,6h,360,0.5903281066740398,0.125939260184254,17,0.0383941623129093,0.12028039923553466,36,65,24
455,PPI y/y,CNY,medium,0.30297107058063105,USD/JPY,12h,720,0.4431867759770651,0.16580205447060306,17,0.014065337139674875,0.10299174036237423,36,66,25
244,Flash Services PMI,EUR,medium,0.2752836001950629,EUR/USD,12h,720,0.48170241374543993,0.17230789397473031,11,0.029503569826174265,0.13016630229570092,36,75,26
85,Core PCE Price Index m/m,USD,high,0.2746835880713335,USD/CAD,6h,360,0.4610810681035107,0.14893454051428773,16,0.04493469118027857,0.14010805521794523,32,76,27
168,CPI Flash Estimate y/y,EUR,medium,0.27196740442642214,GBP/USD,6h,360,-0.3388277751348504,-0.1794828076652287,20,0.05595165834255289,0.20375180115889657,36,78,28
66,Non-Farm Employment Change,USD,high,0.2680551585419818,GBP/USD,30m,30,-0.3330989168361276,-0.10476710493340073,59,0.1391159204147013,0.23617078996513863,36,80,29
21,Cash Rate,AUD,high,0.26262377204989273,GBP/USD,6h,360,-0.5954437458173512,-0.12732177183292714,12,0.05168157540591679,0.3531280747614802,36,83,30
82,CPI y/y,GBP,high,0.2569990357118695,GBP/USD,30m,30,0.7225137507175277,0.08627022212132553,17,0.042003897695640884,0.1951340290310089,36,87,31
10,Crude Oil Inventories,USD,medium,0.24268194741074967,USD/JPY,4h,240,0.5564476618642665,0.12589907125823846,12,0.01733592708187659,0.0913870827976483,72,92,32
112,Core Retail Sales m/m,USD,high,0.24226970412701226,EUR/USD,12h,720,0.4504464191583721,0.13887060916555882,15,0.05871651140063648,0.2513969782567145,36,93,33
836,Flash Services PMI,GBP,high,0.24076521850263774,USD/JPY,12h,720,-0.3001309621690767,-0.19456220822578973,17,0.03365067987317854,0.16947066807720665,36,94,34
87,Core PPI m/m,USD,high,0.23987209069128546,USD/JPY,12h,720,0.4227370180924004,0.15737573252495343,13,0.029721282054687062,0.16566719781606645,36,97,35
231,New Home Sales,USD,medium,0.2368654430899003,USD/JPY,6h,360,0.47514754958231126,0.13323219817084825,14,0.045111786639263504,0.23519988264843306,36,99,36
804,GDP m/m,GBP,high,0.23685396008476559,EUR/USD,12h,720,-0.4269683841618596,-0.13075210213795374,18,0.04697369432274717,0.2417508030936369,36,100,37
56,Unemployment Rate,USD,high,0.2231496839401717,EUR/USD,5m,5,0.3483390765091525,0.08340038857834738,59,0.08565958813001,0.17200648969565546,36,106,38
