pair,horizon_label,horizon_minutes,forecast_k,scenario_actual_k,delta_k,predicted_return_pct,slope_pct_per_1k_delta,intercept_pct,n_events
EUR/USD,15m,15,65.0,115.0,50.0,-0.1708419159359275,-0.0006436905348718288,-0.13865738919233606,59
EUR/USD,15m,15,65.0,140.0,75.0,-0.18693417930772321,-0.0006436905348718288,-0.13865738919233606,59
EUR/USD,15m,15,65.0,165.0,100.0,-0.20302644267951894,-0.0006436905348718288,-0.13865738919233606,59
EUR/USD,15m,15,65.0,215.0,150.0,-0.23521096942311037,-0.0006436905348718288,-0.13865738919233606,59
EUR/USD,30m,30,65.0,-85.0,-150.0,-0.03913504311562814,-0.0006787523462602713,-0.14094789505466884,59
EUR/USD,30m,30,65.0,-35.0,-100.0,-0.0730726604286417,-0.0006787523462602713,-0.14094789505466884,59
EUR/USD,30m,30,65.0,-10.0,-75.0,-0.09004146908514848,-0.0006787523462602713,-0.14094789505466884,59
EUR/USD,30m,30,65.0,15.0,-50.0,-0.10701027774165528,-0.0006787523462602713,-0.14094789505466884,59
EUR/USD,30m,30,65.0,40.0,-25.0,-0.12397908639816206,-0.0006787523462602713,-0.14094789505466884,59
EUR/USD,30m,30,65.0,65.0,0.0,-0.14094789505466884,-0.0006787523462602713,-0.14094789505466884,59
EUR/USD,30m,30,65.0,90.0,25.0,-0.15791670371117564,-0.0006787523462602713,-0.14094789505466884,59
EUR/USD,30m,30,65.0,115.0,50.0,-0.1748855123676824,-0.0006787523462602713,-0.14094789505466884,59
EUR/USD,30m,30,65.0,140.0,75.0,-0.1918543210241892,-0.0006787523462602713,-0.14094789505466884,59
EUR/USD,30m,30,65.0,165.0,100.0,-0.208823129680696,-0.0006787523462602713,-0.14094789505466884,59
EUR/USD,30m,30,65.0,215.0,150.0,-0.24276074699370953,-0.0006787523462602713,-0.14094789505466884,59
EUR/USD,1h,60,65.0,-85.0,-150.0,-0.010501634138503635,-0.0005799454307243027,-0.09749344874714903,59
EUR/USD,1h,60,65.0,-35.0,-100.0,-0.03949890567471877,-0.0005799454307243027,-0.09749344874714903,59
EUR/USD,1h,60,65.0,-10.0,-75.0,-0.053997541442826334,-0.0005799454307243027,-0.09749344874714903,59
EUR/USD,1h,60,65.0,15.0,-50.0,-0.0684961772109339,-0.0005799454307243027,-0.09749344874714903,59
EUR/USD,1h,60,65.0,40.0,-25.0,-0.08299481297904146,-0.0005799454307243027,-0.09749344874714903,59
EUR/USD,1h,60,65.0,65.0,0.0,-0.09749344874714903,-0.0005799454307243027,-0.09749344874714903,59
