pair,horizon_hours,surprise_factor,expected_return_pct,expected_price,coefficient
USD/CAD,6,-1.0,-0.1446898412404791,1.3630249836670676,0.1446898412404791
USD/CAD,6,-0.5,-0.07234492062023955,1.3640124918335337,0.1446898412404791
USD/CAD,6,0.0,0.0,1.365,0.1446898412404791
USD/CAD,6,0.5,0.07234492062023955,1.3659875081664663,0.1446898412404791
USD/CAD,6,1.0,0.1446898412404791,1.3669750163329324,0.1446898412404791
USD/CAD,6,1.5,0.21703476186071863,1.367962524499399,0.1446898412404791
USD/CAD,6,2.0,0.2893796824809582,1.368950032665865,0.1446898412404791
USD/JPY,1,-2.0,-0.3098187477229163,156.3939563485723,0.15490937386145814
USD/JPY,1,-1.5,-0.23236406079218722,156.51546726142922,0.15490937386145814
USD/JPY,1,-1.0,-0.15490937386145814,156.63697817428616,0.15490937386145814
USD/JPY,1,-0.5,-0.07745468693072907,156.75848908714306,0.15490937386145814
USD/JPY,1,0.0,0.0,156.88,0.15490937386145814
USD/JPY,1,0.5,0.07745468693072907,157.0015109128569,0.15490937386145814
USD/JPY,1,1.0,0.15490937386145814,157.12302182571386,0.15490937386145814
USD/JPY,1,1.5,0.23236406079218722,157.24453273857077,0.15490937386145814
USD/JPY,1,2.0,0.3098187477229163,157.3660436514277,0.15490937386145814
USD/JPY,4,-2.0,-0.5628312628426998,155.99703031485237,0.2814156314213499
USD/JPY,4,-1.5,-0.4221234471320249,156.21777273613927,0.2814156314213499
USD/JPY,4,-1.0,-0.2814156314213499,156.4385151574262,0.2814156314213499
USD/JPY,4,-0.5,-0.14070781571067495,156.6592575787131,0.2814156314213499
USD/JPY,4,0.0,0.0,156.88,0.2814156314213499
USD/JPY,4,0.5,0.14070781571067495,157.1007424212869,0.2814156314213499
USD/JPY,4,1.0,0.2814156314213499,157.3214848425738,0.2814156314213499
USD/JPY,4,1.5,0.4221234471320249,157.5422272638607,0.2814156314213499
USD/JPY,4,2.0,0.5628312628426998,157.7629696851476,0.2814156314213499
USD/JPY,6,-2.0,-0.6468657175134667,155.86519706236487,0.32343285875673333
USD/JPY,6,-1.5,-0.4851492881351,156.11889779677364,0.32343285875673333
USD/JPY,6,-1.0,-0.32343285875673333,156.37259853118243,0.32343285875673333
USD/JPY,6,-0.5,-0.16171642937836667,156.6262992655912,0.32343285875673333
USD/JPY,6,0.0,0.0,156.88,0.32343285875673333
USD/JPY,6,0.5,0.16171642937836667,157.1337007344088,0.32343285875673333
USD/JPY,6,1.0,0.32343285875673333,157.38740146881756,0.32343285875673333
USD/JPY,6,1.5,0.4851492881351,157.64110220322635,0.32343285875673333
USD/JPY,6,2.0,0.6468657175134667,157.89480293763512,0.32343285875673333
