pair,horizon_label,horizon_minutes,n_events,slope_pct_per_1k_delta,intercept_pct,corr,r2,rmse_pct,mean_return_pct,std_return_pct,delta_std_k_series
GBP/USD,15m,15,59,-0.0006480469498055194,-0.1572452416011503,-0.31191672577587953,0.09729204381874523,0.2716278966908691,-0.17381986613092196,0.28834521225262894,138.78576934276484
GBP/USD,30m,30,59,-0.0007548836269708112,-0.15435717702009524,-0.3330989168361275,0.1109548883974014,0.29403674925549156,-0.1736642853777046,0.3145225025902508,138.78576934276484
GBP/USD,1h,60,59,-0.0006394716302462839,-0.12290070292290303,-0.2687073195125752,0.07220362355963318,0.31542858633663534,-0.13925600275411731,0.3302833817016628,138.78576934276484
GBP/USD,2h,120,59,-0.00044048079081285794,-0.10729517025695778,-0.14456776629170354,0.020899839050572612,0.41486040987798756,-0.11856102641520529,0.42286373374768116,138.78576934276484
GBP/USD,4h,240,59,-0.0005622355911449818,-0.1386556445846334,-0.16492548014324476,0.027200414000479824,0.46267410534599634,-0.1530355345344262,0.47312458330373103,138.78576934276484
GBP/USD,6h,360,59,-0.0006632515184072539,-0.1344849954625578,-0.17391001613541962,0.030244693712221913,0.51679424414362,-0.1514484961621603,0.5292959790092282,138.78576934276484
GBP/USD,12h,720,59,-0.0006263638675117858,-0.17060174128683228,-0.15743608909350973,0.024786122149059533,0.540636382920721,-0.1866217934237015,0.5521630506808396,138.78576934276484
USD/CAD,1m,1,59,0.0002519425807796961,-0.06392652180848767,0.349935288839591,0.122454706375248,0.09280717046735093,-0.057482770039054394,0.09992145982093296,138.78576934276484
USD/CAD,5m,5,59,0.00034486214116394157,-0.08699677806314371,0.31955429178492434,0.10211494539816456,0.14071622154526098,-0.07817649041879818,0.14977723288049036,138.78576934276484
USD/CAD,15m,15,59,0.0002720430075602471,-0.09041767004012356,0.19966386394143257,0.039865658564022896,0.1837117888497916,-0.08345982430438777,0.1890963009192456,138.78576934276484
USD/CAD,30m,30,59,0.0004385633665827815,-0.09590246138095851,0.2654177867802629,0.0704466015393331,0.21921609049011226,-0.0846856457847989,0.22932281583349592,138.78576934276484
USD/CAD,1h,60,59,0.00036721020306203927,-0.1255843685600054,0.19609546085720558,0.03845342976879985,0.25267675366600395,-0.11619250082406272,0.2598915360901141,138.78576934276484
USD/CAD,2h,120,59,0.00026778895154540766,-0.12095622661916892,0.11270859901661547,0.012703228292288213,0.32485712020983026,-0.114107183773711,0.32974676276690146,138.78576934276484
USD/CAD,4h,240,59,6.46148998107658e-05,-0.1205333707890592,0.023732139386938467,0.0005632144398810761,0.3745470476236728,-0.11888076258881433,0.37786852820265826,138.78576934276484
USD/CAD,6h,360,59,0.00017862902198505107,-0.13244417033746786,0.059054947696418114,0.0034874868474266793,0.41549905237431084,-0.12787550602940942,0.41979829311820077,138.78576934276484
USD/CAD,12h,720,59,9.804306306581446e-05,-0.14355047244248736,0.03208958204218749,0.0010297412756422818,0.42020577618103283,-0.14104289647356683,0.4240311362865823,138.78576934276484
USD/JPY,1m,1,59,0.00038926402931889405,-0.13429023297413537,0.2427140895795149,0.05891012928041278,0.21409068095404518,-0.12433431059714875,0.22258414367324364,138.78576934276484
USD/JPY,5m,5,59,0.0004806894967426256,-0.15969453358697389,0.2399715223124218,0.057586331520941156,0.2675830764033449,-0.14740028866181082,0.27800324379139224,138.78576934276484
USD/JPY,15m,15,59,0.0006729050791575826,-0.16838516957986355,0.2817058808627161,0.07935820331263879,0.31538146419044155,-0.15117476679259587,0.3315147302553146,138.78576934276484
USD/JPY,30m,30,59,0.0006572885673945855,-0.1647811617685503,0.26612865704895267,0.07082446210267906,0.3276017764060739,-0.1479701711211192,0.3427751844450238,138.78576934276484
USD/JPY,1h,60,59,0.0006033555031650622,-0.20566313514854279,0.2213453555168113,0.04899376640886359,0.36578633289057993,-0.19023155117776183,0.3783099830508719,138.78576934276484
USD/JPY,2h,120,59,0.0007164168280327719,-0.2554613616586285,0.1845740917371676,0.03406759534060036,0.5249299286627047,-0.23713809058233268,0.5386913174695014,138.78576934276484
USD/JPY,4h,240,59,0.0009904527854246547,-0.2516120211390168,0.24144760254037087,0.058296944772492906,0.5477732223563464,-0.22627993210163036,0.5693191830300373,138.78576934276484
USD/JPY,6h,360,59,0.0010197942699863554,-0.25448794359193955,0.23237005761785554,0.0539958436773255,0.587370123164922,-0.2284054087883903,0.6090842072439374,138.78576934276484
