pair,horizon_label,horizon_minutes,n_events,slope_pct_per_1k_delta,intercept_pct,corr,r2,rmse_pct,mean_return_pct,std_return_pct,delta_std_k_series
GBP/USD,2h,120,58,-0.0004428353517745454,-0.10906037366228873,-0.1453654995986183,0.0211311284735559,0.418186641963078,-0.12019997328710011,0.4263678662471994,139.95986915104191
GBP/USD,4h,240,58,-0.0005678747532477075,-0.1428832981934874,-0.16691053562883584,0.02785912690390488,0.4654364277870175,-0.15716828552087375,0.47618130191296487,139.95986915104191
GBP/USD,6h,360,58,-0.0006686978160796615,-0.13856805950473466,-0.1755778061974679,0.0308275660291156,0.5202208709991476,-0.15538926836094552,0.5330449267308743,139.95986915104191
GBP/USD,12h,720,58,-0.000632278607650487,-0.17503599446794355,-0.15916716631282987,0.025334186832056044,0.5441389687648068,-0.1909410718569446,0.5559791836705713,139.95986915104191
USD/CAD,1m,1,58,0.00025054014261096996,-0.06497792318287654,0.3493645378017454,0.12205558027342721,0.09323070549818799,-0.058675542698921286,0.10036956182660262,139.95986915104191
USD/CAD,5m,5,58,0.0003428870551520291,-0.08847749086301547,0.31881715267207295,0.10164437683792787,0.14143617899224992,-0.07985210787220837,0.1505264913460467,139.95986915104191
USD/CAD,15m,15,58,0.00026966675929979893,-0.09219913231249896,0.1984934629891019,0.03939965484940596,0.18474791059095036,-0.08541561848804365,0.19014492355376744,139.95986915104191
USD/CAD,30m,30,58,0.0004344608047724203,-0.09897813289512399,0.2645477776229637,0.06998552664524907,0.21974464340141894,-0.0880491964440385,0.2298529132755264,139.95986915104191
USD/CAD,1h,60,58,0.0003615543727329825,-0.12982451826063926,0.19478186232570474,0.037939973891069796,0.2526115178340645,-0.12072955567758024,0.25979371022790204,139.95986915104191
USD/CAD,2h,120,58,0.00026186519490485,-0.12539723942979839,0.11085259227570697,0.01228829721424413,0.32574216932029965,-0.1188099753027953,0.3306248204186273,139.95986915104191
USD/CAD,4h,240,58,6.0898514190277805e-05,-0.1233195278092222,0.022400227948137834,0.0005017702121285353,0.3771136326852946,-0.12178761518502194,0.38050273851220723,139.95986915104191
USD/CAD,6h,360,58,0.0001750184815408059,-0.13515097572113377,0.05792566546835204,0.003355382719951432,0.4185140105440657,-0.13074835564237455,0.42287928118578966,139.95986915104191
USD/CAD,12h,720,58,9.555990132605414e-05,-0.1454120872532036,0.031288180567465,0.0009789502432222942,0.4235548525520897,-0.14300826145950174,0.4274633757256096,139.95986915104191
USD/JPY,1m,1,58,0.00038834065163262344,-0.13498248493224252,0.24218412057783167,0.058653148260057714,0.21585841658267005,-0.12521370888513908,0.22442473378870847,139.95986915104191
USD/JPY,5m,5,58,0.00048093422383365086,-0.1595110628247023,0.24002849698245796,0.05761367936365783,0.2698760362765615,-0.14741307950447305,0.28043124830688365,139.95986915104191
USD/JPY,15m,15,58,0.0006731135269913187,-0.1682288972080996,0.2817177281882743,0.07936487837556239,0.31808623016992305,-0.15129661038257658,0.3344087777768132,139.95986915104191
USD/JPY,30m,30,58,0.0006566517772943249,-0.16525856034592828,0.26583820944974074,0.07066995360344422,0.33039211124015966,-0.14874037167226586,0.3457174084122336,139.95986915104191
USD/JPY,1h,60,58,0.0006035225841579423,-0.20553787530503154,0.2213472207297183,0.048994592124770635,0.3689248463895846,-0.19035616064492059,0.3816128417152672,139.95986915104191
USD/JPY,2h,120,58,0.0007139415826880589,-0.25731704158478474,0.183978588867871,0.033848121161813106,0.5292307308536657,-0.23935771797889033,0.5431239097407741,139.95986915104191
USD/JPY,4h,240,58,0.0009884248281209732,-0.25313237130049987,0.24097452323598584,0.05806872084881068,0.5523432925628976,-0.22826837433104302,0.5740847943248203,139.95986915104191
USD/JPY,6h,360,58,0.0010178342828312426,-0.2559573368490715,0.23193046547273333,0.05379174081439875,0.5922970932048278,-0.23035353997578212,0.614218372528783,139.95986915104191
