event_base_id,event_name,currency,impact,pair,horizon_label,horizon_minutes,n_events,slope_pct_per_unit_surprise,intercept_pct,surprise_std,slope_pct_per_1sd_surprise,corr,r2,rmse_pct,mean_return_pct,std_return_pct,mean_abs_return_pct,mover_score
26,Natural Gas Storage,USD,low,GBP/USD,30m,30,75,-3.8929481848312455e-13,0.002713626012069716,10349513632.65117,-0.004029012031011561,-0.04201294206288769,0.001765087300779558,0.09517372658922812,0.0021997568516719953,0.09589930705116251,0.07048539545175998,0.0014659268217468407
226,Revised Industrial Production m/m,JPY,low,USD/CAD,1m,1,17,-0.0017450031965182205,0.0005776944391166168,0.6540597202450696,-0.0011413363025414595,-0.31111080029739824,0.09678993006168761,0.003382427208867139,0.0002594879738691765,0.0036685846375324443,0.0024601320263861505,0.0014640407999400252
222,French Industrial Production m/m,EUR,low,EUR/USD,4h,240,39,0.0062444278763002315,0.004909569728806336,0.98338422522072,0.006140671869082169,0.038038933538237965,0.0014469604647264851,0.15923283317966447,0.004237092880589388,0.16143123105460772,0.1177703000154504,0.0014587354163370324
226,Revised Industrial Production m/m,JPY,low,EUR/USD,30m,30,17,0.004808632818205308,0.00409798439595179,0.6540597202450696,0.003145133035836625,0.11197734335253218,0.012538925424290881,0.027077239338164017,0.004974852733389225,0.02808722676992767,0.02447068052560279,0.0014520903549345003
470,Retail Sales y/y,CNY,medium,USD/JPY,1h,60,10,0.005378882596972004,-0.009701528483285371,1.1147994338793763,0.005996375274008019,0.07655637539656775,0.005860878613860203,0.07408875183090957,-0.010508360872831175,0.0783262692747187,0.06075540342435577,0.0014516775749262051
377,Monetary Base y/y,JPY,low,USD/CAD,5m,5,17,0.001668134567116,0.005149149602520214,1.1459006219101717,0.0019115164378880794,0.18404439843774995,0.033872340596313256,0.009903945041924439,0.00349082759168137,0.010386170153038474,0.007406441179421699,0.001450524609991956
470,Retail Sales y/y,CNY,medium,EUR/USD,30m,30,10,0.0041356983063114815,0.012231183165502393,1.1147994338793763,0.004610474130571935,0.09939820058862131,0.009880002280255798,0.0437856940292917,0.011610828419555668,0.04638387921782687,0.036667069710652915,0.0014491859402846914
64,Unemployment Rate,AUD,high,USD/CAD,15m,15,17,0.023412484414428697,-0.005685388470843299,0.14374200745044025,0.003365357509132126,0.10443429067811451,0.010906521069440915,0.031091543718943935,-0.006236270457065151,0.03222464084622142,0.026442364973490756,0.0014491014435171316
172,Italian Prelim CPI m/m,EUR,low,USD/CAD,30m,30,19,-0.015195396079405796,0.009386226106367633,0.2445905995812365,-0.003716651037936234,-0.08932530483049379,0.007979010083060638,0.04033640252390984,0.008266565342621946,0.041608042032311617,0.032241858561983416,0.0014471151621167245
122,Goods Trade Balance,AUD,low,USD/CAD,1h,60,18,-1.5366019033876566e-12,0.016840420122512374,2618609432.4043674,-0.0040237602380614225,-0.08476307112636927,0.007184778226773936,0.0459671769682971,0.017865675059161583,0.047470675432023754,0.04042804984408192,0.0014470216563979355
